Devaldo Rojo vs Oxfarm Gent,Nazareth,2017/11/23,22:00
Foeke Boys vs Devaldo Rojo,Sint Josef,2017/12/9,15:30
Apres Foot vs Devaldo Rojo,Sint Josef,2017/12/11,20:00
Devaldo Rojo vs MVC Alpha,Rozebroeken,2017/12/21,20:00
Devaldo Rojo vs Sweco FC,Rozebroeken,2018/1/11,20:00
Bom@Bay vs Devaldo Rojo,Oosterzele,2018/1/19,19:00
FC De Ploegmoats vs Devaldo Rojo,Nazareth,2018/1/22,22:00
MVC Biernamaals vs Devaldo Rojo,Gentbrugge,2018/2/8,22:00
Devaldo Rojo vs MVC Cuba Friends,Zwijnaarde,2018/2/15,22:00
Red Hot Willy Peppers vs Devaldo Rojo,Destelbergen,2018/2/26,22:00
De Betonnen Muur vs Devaldo Rojo,Destelbergen,2018/3/6,22:00
MVC Alpha vs Devaldo Rojo,Destelbergen,2018/3/22,22:00
Oxfarm Gent vs Devaldo Rojo,Kruishoutem,2018/4/3,22:00
Devaldo Rojo vs Foeke Boys,Mariakerke,2018/4/12,22:00
Devaldo Rojo vs Apres Foot,Nazareth,2018/4/19,20:00
Devaldo Rojo vs MVC Bocca,Rozebroeken,2018/4/26,19:00
Devaldo Rojo vs FC Afsnis,Rozebroeken,2018/5/3,20:00
